자전거번호,등록일시,등록일시2,고장구분,총이용시간,총이용거리
SPB-40402,2021-01-01,2021-07-13,기타 ,5972.0,711506.91
SPB-32280,2021-01-01,2021-08-12,체인,3236.0,425409.52
SPB-34462,2021-01-02,2021-06-10,기타 ,8221.0,956419.86
SPB-35692,2021-01-02,2021-05-19,단말기,3503.0,439067.44
SPB-53177,2021-01-02,2021-05-11,체인,1250.0,109193.77
SPB-53177,2021-01-02,2021-05-06,페달,14122.0,1569585.56
SPB-53177,2021-01-02,2021-09-10,기타 ,19359.0,2286996.2300000004
SPB-32058,2021-01-02,2021-06-25,안장,17371.0,2112691.47
SPB-32058,2021-01-02,2021-03-19,페달,4370.0,576368.1500000001
SPB-30448,2021-01-02,2021-10-02,타이어 ,2301.0,286094.98000000004
SPB-30448,2021-01-02,2021-10-02,타이어 ,2301.0,286094.98000000004
SPB-37024,2021-01-02,2021-08-03,체인,324.0,34486.43
SPB-50308,2021-01-02,2021-08-14,기타 ,10838.0,1377588.89
SPB-31528,2021-01-02,2021-03-29,체인,3259.0,358495.06
SPB-31528,2021-01-02,2021-07-20,기타 ,11962.0,1590210.22
SPB-31309,2021-01-02,2021-04-29,기타 ,6730.0,901584.48
SPB-33396,2021-01-02,2021-12-09,체인,437.0,59231.77
SPB-44092,2021-01-03,2021-12-09,타이어 ,11473.0,1381732.5
SPB-36684,2021-01-03,2021-07-05,타이어 ,528.0,64453.0
SPB-30394,2021-01-03,2021-09-25,기타 ,1341.0,179520.7
SPB-31162,2021-01-03,2021-09-11,기타 ,5118.0,603995.4400000001
SPB-41084,2021-01-03,2021-04-21,안장,74.0,11570.93
SPB-34197,2021-01-03,2021-01-16,기타 ,604.0,69677.59
SPB-35283,2021-01-04,2021-09-06,안장,2283.0,287755.75
SPB-30758,2021-01-04,2021-01-05,페달,165.0,23427.78
SPB-32797,2021-01-04,2021-09-25,기타 ,9649.0,1271472.16
SPB-40884,2021-01-04,2021-03-24,체인,1550.0,203658.47000000003
SPB-40884,2021-01-04,2021-03-24,체인,1550.0,203658.47000000003
SPB-40884,2021-01-04,2021-06-04,기타 ,5586.0,728153.13
SPB-40884,2021-01-04,2021-06-04,기타 ,5586.0,728153.13
SPB-37721,2021-01-04,2021-05-12,안장,2056.0,271390.36000000004
SPB-37721,2021-01-04,2021-05-12,안장,2056.0,271390.36000000004
SPB-31176,2021-01-04,2021-06-07,단말기,5820.0,789182.98
SPB-32443,2021-01-04,2021-10-12,기타 ,1079.0,127128.71
SPB-30580,2021-01-04,2021-07-06,체인,59.0,8288.02
SPB-30580,2021-01-04,2021-07-06,체인,59.0,8288.02
SPB-30580,2021-01-04,2021-06-16,페달,12119.0,1454255.24
SPB-30580,2021-01-04,2021-06-16,페달,12119.0,1454255.24
SPB-30680,2021-01-04,2021-04-19,안장,6035.0,773104.21
SPB-36605,2021-01-05,2021-07-23,타이어 ,23974.0,2788934.7800000003
SPB-33184,2021-01-05,2021-03-27,기타 ,1484.0,224324.49
SPB-31969,2021-01-05,2021-03-31,체인,9342.0,1072938.75
SPB-31969,2021-01-05,2021-07-23,페달,775.0,104723.66
SPB-31969,2021-01-05,2021-05-05,기타 ,1088.0,133889.05
SPB-31810,2021-01-05,2021-09-12,단말기,9699.0,1171233.0799999998
SPB-31810,2021-01-05,2021-02-16,기타 ,3282.0,324983.31999999995
SPB-34333,2021-01-05,2021-08-19,체인,832.0,114656.84000000004
SPB-52139,2021-01-05,2021-03-26,기타 ,163.0,27707.42
SPB-52139,2021-01-05,2021-03-26,기타 ,163.0,27707.42
SPB-33071,2021-01-05,2021-05-09,타이어 ,812.0,93848.56
SPB-33244,2021-01-05,2021-12-02,체인,15828.0,1973329.08
SPB-33244,2021-01-05,2021-12-02,체인,15828.0,1973329.08
SPB-30347,2021-01-06,2021-05-22,기타 ,6226.0,797672.5700000001
SPB-35488,2021-01-06,2021-07-24,기타 ,13068.0,1570117.11
SPB-42581,2021-01-06,2021-08-09,안장,6574.0,861563.62
SPB-33905,2021-01-06,2021-07-12,기타 ,1114.0,164694.41999999998
SPB-38585,2021-01-06,2021-06-28,기타 ,4286.0,451588.37
SPB-39807,2021-01-06,2021-03-30,기타 ,1964.0,263619.67
SPB-32743,2021-01-06,2021-07-09,기타 ,14187.0,1944888.63
SPB-36145,2021-01-06,2021-07-27,체인,32.0,4472.91
SPB-36145,2021-01-06,2021-07-27,체인,32.0,4472.91
SPB-32492,2021-01-07,2021-08-21,체인,1146.0,133164.39999999997
SPB-32492,2021-01-07,2021-08-21,체인,1146.0,133164.39999999997
SPB-38501,2021-01-07,2021-07-24,기타 ,257.0,50055.74
SPB-38501,2021-01-07,2021-07-24,기타 ,257.0,50055.74
SPB-37721,2021-01-07,2021-04-18,기타 ,6461.0,647450.45
SPB-37721,2021-01-07,2021-04-18,기타 ,6461.0,647450.45
SPB-30255,2021-01-08,2021-06-02,타이어 ,3220.0,395956.29
SPB-41081,2021-01-08,2021-05-20,기타 ,2242.0,253647.26
SPB-35747,2021-01-08,2021-06-07,기타 ,14888.0,1805237.19
SPB-30888,2021-01-08,2021-05-24,기타 ,206.0,26355.76
SPB-30888,2021-01-08,2021-05-24,기타 ,206.0,26355.76
SPB-35322,2021-01-09,2021-06-06,기타 ,4488.0,581370.99
SPB-33965,2021-01-10,2021-04-01,체인,10343.0,1012395.29
SPB-40410,2021-01-10,2021-08-10,안장,4779.0,678559.99
SPB-31643,2021-01-11,2021-09-09,기타 ,921.0,95380.11
SPB-31643,2021-01-11,2021-09-09,기타 ,921.0,95380.11
SPB-33362,2021-01-11,2021-08-15,안장,6112.0,768507.8500000001
SPB-33362,2021-01-11,2021-05-24,기타 ,16909.0,2063341.5
SPB-44971,2021-01-11,2021-01-20,체인,71.0,9725.75
SPB-44971,2021-01-11,2021-01-20,체인,71.0,9725.75
SPB-44971,2021-01-11,2021-04-19,기타 ,7352.0,945074.27
SPB-44971,2021-01-11,2021-04-19,기타 ,7352.0,945074.27
SPB-34021,2021-01-11,2021-06-07,안장,9705.0,1141883.96
SPB-30909,2021-01-11,2021-04-25,기타 ,2616.0,284477.98
SPB-37584,2021-01-11,2021-10-31,기타 ,12694.0,1652934.71
SPB-37584,2021-01-11,2021-10-31,기타 ,12694.0,1652934.71
SPB-33974,2021-01-11,2021-07-29,체인,475.0,64529.08
SPB-33974,2021-01-11,2021-07-21,페달,9647.0,1135818.4300000002
SPB-30927,2021-01-11,2021-11-06,안장,3924.0,407910.26
SPB-30927,2021-01-11,2021-11-06,안장,3924.0,407910.26
SPB-53882,2021-01-11,2021-05-13,기타 ,6502.0,859075.39
SPB-32524,2021-01-12,2021-04-14,체인,620.0,101940.48
SPB-32524,2021-01-12,2021-04-09,페달,12930.0,1545243.5499999998
SPB-43398,2021-01-12,2021-12-08,타이어 ,7213.0,822147.31
SPB-43398,2021-01-12,2021-12-08,타이어 ,7213.0,822147.31
SPB-43398,2021-01-12,2021-05-22,기타 ,1621.0,246227.45
SPB-43398,2021-01-12,2021-05-22,기타 ,1621.0,246227.45
SPB-44621,2021-01-13,2021-05-09,타이어 ,2633.0,305749.62
SPB-44621,2021-01-13,2021-06-04,기타 ,1121.0,164614.83999999997
SPB-50171,2021-01-13,2021-10-14,기타 ,7580.0,975960.0
SPB-52481,2021-01-13,2021-09-09,기타 ,160.0,26620.0
SPB-52736,2021-01-13,2021-04-02,기타 ,13527.0,1645965.57
SPB-50456,2021-01-13,2021-08-02,기타 ,474.0,65779.49
SPB-50029,2021-01-14,2021-08-08,안장,409.0,59932.95
SPB-50029,2021-01-14,2021-08-08,안장,409.0,59932.95
SPB-37850,2021-01-14,2021-08-18,안장,827.0,119216.08
SPB-31444,2021-01-14,2021-04-08,체인,774.0,108880.77
SPB-31444,2021-01-14,2021-06-14,페달,146.0,16801.67
SPB-41760,2021-01-14,2021-03-23,기타 ,820.0,120173.87
SPB-39364,2021-01-14,2021-12-17,안장,2464.0,189403.63
SPB-44655,2021-01-14,2021-05-31,안장,5673.0,583316.8
SPB-44655,2021-01-14,2021-05-31,안장,5673.0,583316.8
SPB-52849,2021-01-15,2021-07-22,기타 ,5286.0,632373.42
SPB-43848,2021-01-15,2021-08-15,안장,1394.0,196103.62
SPB-34307,2021-01-15,2021-05-11,기타 ,6110.0,866124.3
SPB-33677,2021-01-15,2021-05-06,체인,1127.0,164199.8
SPB-33677,2021-01-15,2021-05-06,체인,1127.0,164199.8
SPB-51913,2021-01-15,2021-07-10,기타 ,6959.0,901880.38
SPB-51913,2021-01-15,2021-07-10,기타 ,6959.0,901880.38
SPB-52240,2021-01-15,2021-09-01,기타 ,12192.0,1443290.0
SPB-80392,2021-01-15,2021-10-15,기타 ,4.0,580.0
SPB-80392,2021-01-15,2021-10-15,기타 ,4.0,580.0
SPB-53509,2021-01-15,2021-08-19,기타 ,20034.0,2339824.5300000003
SPB-53655,2021-01-15,2021-05-26,기타 ,3310.0,390301.08
SPB-35095,2021-01-15,2021-04-16,기타 ,6023.0,772181.02
SPB-35095,2021-01-15,2021-04-16,기타 ,6023.0,772181.02
SPB-39449,2021-01-15,2021-12-17,기타 ,2639.0,309483.19
SPB-53060,2021-01-15,2021-05-14,기타 ,5328.0,673891.4100000001
SPB-53060,2021-01-15,2021-05-14,기타 ,5328.0,673891.4100000001
SPB-52194,2021-01-16,2021-11-02,안장,1399.0,117410.0
SPB-54209,2021-01-16,2021-01-24,안장,319.0,43920.0
SPB-51150,2021-01-17,2021-08-10,단말기,11278.0,1668285.87
SPB-35412,2021-01-17,2021-09-01,체인,466.0,46339.92
SPB-53930,2021-01-17,2021-08-12,타이어 ,6962.0,827270.47
SPB-53930,2021-01-17,2021-10-03,체인,11256.0,101211.87
SPB-41427,2021-01-17,2021-04-11,기타 ,1452.0,173999.22
SPB-31345,2021-01-18,2021-06-24,기타 ,491.0,58325.2
SPB-38778,2021-01-18,2021-06-02,체인,243.0,20409.230000000003
SPB-33503,2021-01-18,2021-12-17,기타 ,4753.0,534318.26
SPB-42613,2021-01-18,2021-08-12,기타 ,3745.0,530660.6699999999
SPB-40482,2021-01-18,2021-05-12,기타 ,359.0,51274.19
SPB-40645,2021-01-19,2021-04-25,체인,1465.0,166428.58
SPB-34036,2021-01-19,2021-11-02,기타 ,7875.0,847392.23
SPB-32970,2021-01-19,2021-05-09,기타 ,15612.0,1901590.37
SPB-36947,2021-01-19,2021-05-12,기타 ,140.0,16459.829999999998
SPB-33850,2021-01-19,2021-07-19,기타 ,4824.0,563396.66
SPB-40354,2021-01-19,2021-08-16,기타 ,1271.0,157434.84000000003
SPB-33582,2021-01-19,2021-06-23,체인,9485.0,1163787.5
SPB-41305,2021-01-19,2021-06-19,기타 ,191.0,24059.31
SPB-43508,2021-01-19,2021-07-01,기타 ,2507.0,309433.85
SPB-42516,2021-01-19,2021-09-23,안장,1585.0,186118.66
SPB-41384,2021-01-19,2021-10-26,안장,1390.0,136113.93000000002
SPB-32219,2021-01-19,2021-06-04,기타 ,643.0,73279.56999999999
SPB-43830,2021-01-19,2021-08-12,타이어 ,2086.0,305701.86
SPB-43830,2021-01-19,2021-08-12,타이어 ,2086.0,305701.86
SPB-53456,2021-01-19,2021-12-26,기타 ,27171.0,3220016.11
SPB-33855,2021-01-19,2021-09-30,체인,11593.0,1419238.85
SPB-33855,2021-01-19,2021-09-30,체인,11593.0,1419238.85
SPB-34315,2021-01-19,2021-06-09,안장,1051.0,96565.19
SPB-52991,2021-01-20,2021-07-05,기타 ,2767.0,365338.73
SPB-52991,2021-01-20,2021-07-05,기타 ,2767.0,365338.73
SPB-31657,2021-01-20,2021-05-27,기타 ,2556.0,282317.56000000006
SPB-50973,2021-01-20,2021-06-13,기타 ,15832.0,1903640.53
SPB-50973,2021-01-20,2021-06-13,기타 ,15832.0,1903640.53
SPB-30538,2021-01-20,2021-07-04,기타 ,9180.0,1138537.73
SPB-33458,2021-01-20,2021-05-14,체인,4455.0,549374.8400000001
SPB-32110,2021-01-20,2021-10-01,체인,28.0,2242.64
SPB-40597,2021-01-20,2021-05-24,안장,9092.0,1060970.54
SPB-50622,2021-01-20,2021-06-04,기타 ,590.0,46121.15
SPB-50622,2021-01-20,2021-06-04,기타 ,590.0,46121.15
SPB-37709,2021-01-21,2021-08-20,기타 ,1025.0,109949.69999999998
SPB-39216,2021-01-21,2021-01-26,기타 ,168.0,31078.4
SPB-42425,2021-01-21,2021-06-21,기타 ,2485.0,307824.06999999995
SPB-32851,2021-01-21,2021-09-02,기타 ,401.0,59635.84
SPB-40529,2021-01-21,2021-05-13,기타 ,2120.0,235231.36
SPB-44884,2021-01-21,2021-07-05,기타 ,3217.0,361369.76
SPB-44884,2021-01-21,2021-07-05,기타 ,3217.0,361369.76
SPB-53523,2021-01-21,2021-07-01,기타 ,7720.0,972525.05
SPB-44540,2021-01-22,2021-07-02,안장,3238.0,435338.9
SPB-44540,2021-01-22,2021-07-02,안장,3238.0,435338.9
SPB-41083,2021-01-22,2021-03-19,체인,585.0,92401.61999999998
SPB-41083,2021-01-22,2021-03-19,체인,585.0,92401.61999999998
SPB-44193,2021-01-22,2021-04-15,타이어 ,6109.0,735614.27
SPB-32055,2021-01-22,2021-08-14,단말기,12039.0,1616726.3299999996
SPB-36650,2021-01-22,2021-06-11,기타 ,3291.0,326120.9500000001
SPB-33288,2021-01-22,2021-08-09,타이어 ,3001.0,384706.12000000005
SPB-43414,2021-01-23,2021-05-04,페달,1587.0,210722.28
SPB-30424,2021-01-23,2021-10-20,체인,371.0,26979.74
SPB-44944,2021-01-23,2021-09-16,기타 ,3830.0,474280.07
SPB-52528,2021-01-23,2021-05-10,안장,18874.0,2385764.6
SPB-51268,2021-01-23,2021-10-24,기타 ,7184.0,907180.0
SPB-40460,2021-01-23,2021-06-03,타이어 ,3767.0,538134.04
SPB-50649,2021-01-23,2021-04-19,페달,16756.0,2151563.95
SPB-50649,2021-01-23,2021-05-05,기타 ,1968.0,264313.94
SPB-39797,2021-01-23,2021-05-05,단말기,572.0,60898.17
SPB-44294,2021-01-24,2021-09-09,타이어 ,4765.0,541841.54
SPB-32666,2021-01-24,2021-05-23,페달,3191.0,392491.56
SPB-80065,2021-01-24,2021-07-23,타이어 ,8667.0,843090.0
SPB-53977,2021-01-24,2021-07-31,단말기,688.0,103107.57
SPB-40286,2021-01-24,2021-07-19,안장,153.0,15617.81
SPB-40286,2021-01-24,2021-07-19,안장,153.0,15617.81
SPB-35122,2021-01-24,2021-10-14,기타 ,5996.0,699083.82
SPB-32546,2021-01-24,2021-06-08,기타 ,20.0,3662.91
SPB-32546,2021-01-24,2021-06-08,기타 ,20.0,3662.91
SPB-31954,2021-01-24,2021-08-02,타이어 ,1336.0,179904.09000000003
SPB-43699,2021-01-24,2021-11-02,체인,343.0,51094.27999999999
SPB-43699,2021-01-24,2021-11-02,페달,343.0,51094.27999999999
SPB-32721,2021-01-25,2021-04-21,안장,1635.0,214999.88
SPB-36612,2021-01-25,2021-04-07,기타 ,160.0,17174.67
SPB-52155,2021-01-25,2021-10-29,체인,11592.0,1301467.6
SPB-52155,2021-01-25,2021-04-06,기타 ,14745.0,1695971.06
SPB-43523,2021-01-25,2021-09-10,단말기,4890.0,590378.4299999999
SPB-32323,2021-01-25,2021-08-08,기타 ,7584.0,1016432.65
SPB-52764,2021-01-25,2021-04-10,안장,5296.0,717720.3699999999
SPB-31530,2021-01-25,2021-07-30,단말기,1031.0,140655.05
SPB-31530,2021-01-25,2021-07-30,단말기,1031.0,140655.05
SPB-41965,2021-01-25,2021-09-10,기타 ,1930.0,250341.17
SPB-42076,2021-01-25,2021-11-06,기타 ,504.0,57169.24
SPB-32274,2021-01-25,2021-04-01,안장,559.0,79435.17000000001
SPB-32274,2021-01-25,2021-04-01,안장,559.0,79435.17000000001
SPB-42633,2021-01-25,2021-06-22,안장,2244.0,265869.55
SPB-53102,2021-01-26,2021-07-07,안장,30610.0,3683405.14
SPB-30197,2021-01-26,2021-07-22,기타 ,78.0,10183.82
SPB-30197,2021-01-26,2021-07-22,기타 ,78.0,10183.82
SPB-39216,2021-01-26,2021-02-25,기타 ,696.0,123444.28000000004
SPB-36922,2021-01-26,2021-06-08,기타 ,8473.0,1027189.93
SPB-36922,2021-01-26,2021-06-08,기타 ,8473.0,1027189.93
SPB-31345,2021-01-26,2021-05-26,안장,18151.0,1687570.94
SPB-50716,2021-01-26,2021-06-27,기타 ,11009.0,1434188.06
SPB-50716,2021-01-26,2021-06-27,기타 ,11009.0,1434188.06
SPB-31084,2021-01-26,2021-04-08,체인,8422.0,1028160.94
SPB-31084,2021-01-26,2021-04-08,체인,8422.0,1028160.94
SPB-53124,2021-01-26,2021-08-13,타이어 ,12583.0,1687030.0
SPB-30969,2021-01-27,2021-05-01,체인,3802.0,475212.66
SPB-44997,2021-01-27,2021-12-19,기타 ,129.0,18025.33
SPB-53078,2021-01-27,2021-07-07,기타 ,6266.0,884443.3600000001
SPB-53078,2021-01-27,2021-07-07,기타 ,6266.0,884443.3600000001
SPB-40469,2021-01-27,2021-07-01,기타 ,322.0,39067.49999999999
SPB-41155,2021-01-27,2021-06-18,기타 ,7424.0,983771.02
SPB-52224,2021-01-27,2021-07-06,기타 ,3527.0,371277.5
SPB-52309,2021-01-27,2021-06-27,기타 ,3942.0,666692.4199999999
SPB-52309,2021-01-27,2021-06-27,기타 ,3942.0,666692.4199999999
SPB-52381,2021-01-27,2021-09-11,기타 ,19274.0,2179107.88
SPB-52560,2021-01-27,2021-07-26,기타 ,1897.0,231935.1
SPB-54056,2021-01-27,2021-07-21,기타 ,2309.0,297921.06
SPB-54056,2021-01-27,2021-07-21,기타 ,2309.0,297921.06
SPB-32646,2021-01-27,2021-08-12,안장,7757.0,951364.31
SPB-32646,2021-01-27,2021-08-12,안장,7757.0,951364.31
SPB-53151,2021-01-27,2021-12-26,기타 ,33809.0,4205855.65
SPB-51737,2021-01-27,2021-07-19,기타 ,14654.0,1391487.5699999998
SPB-51153,2021-01-27,2021-05-09,기타 ,3267.0,393354.84
SPB-51153,2021-01-27,2021-05-09,기타 ,3267.0,393354.84
SPB-41349,2021-01-27,2021-08-30,기타 ,491.0,72280.54
SPB-50145,2021-01-27,2021-07-22,안장,1419.0,240814.27
SPB-34024,2021-01-28,2021-04-06,안장,421.0,64281.030000000006
SPB-33390,2021-01-28,2021-10-09,안장,20842.0,2265165.49
SPB-33390,2021-01-28,2021-10-09,안장,20842.0,2265165.49
SPB-43879,2021-01-28,2021-07-29,기타 ,1316.0,182427.45
SPB-37641,2021-01-28,2021-11-02,기타 ,187.0,21443.26
SPB-37376,2021-01-28,2021-12-08,체인,2336.0,290082.1
SPB-50197,2021-01-29,2021-02-24,기타 ,4568.0,533579.8200000001
SPB-40715,2021-01-29,2021-04-30,체인,7263.0,760518.41
SPB-40715,2021-01-29,2021-04-30,기타 ,7263.0,760518.41
SPB-30566,2021-01-29,2021-08-08,체인,626.0,89738.54000000001
SPB-30566,2021-01-29,2021-08-03,기타 ,29551.0,3210201.0
SPB-32258,2021-01-29,2021-08-20,기타 ,72.0,9993.83
SPB-30228,2021-01-29,2021-07-19,기타 ,17.0,2139.56
SPB-33559,2021-01-29,2021-06-12,기타 ,276.0,33173.39
SPB-33559,2021-01-29,2021-06-12,기타 ,276.0,33173.39
SPB-34120,2021-01-29,2021-06-17,체인,179.0,13855.079999999998
SPB-34120,2021-01-29,2021-06-17,체인,179.0,13855.079999999998
SPB-34120,2021-01-29,2021-06-16,기타 ,679.0,90382.02
SPB-34120,2021-01-29,2021-06-16,기타 ,679.0,90382.02
SPB-41161,2021-01-29,2021-12-22,기타 ,3917.0,334130.08
SPB-44293,2021-01-29,2021-06-07,단말기,7410.0,850997.89
SPB-30018,2021-01-29,2021-09-27,안장,1579.0,166965.76999999996
SPB-30018,2021-01-29,2021-09-27,안장,1579.0,166965.76999999996
SPB-30018,2021-01-29,2021-08-30,페달,648.0,98346.62
SPB-30018,2021-01-29,2021-08-30,페달,648.0,98346.62
SPB-32951,2021-01-29,2021-07-23,기타 ,16250.0,1896065.96
SPB-38711,2021-01-29,2021-10-28,기타 ,2143.0,228422.18
SPB-33995,2021-01-29,2021-06-04,기타 ,9835.0,1135924.12
SPB-31569,2021-01-29,2021-07-06,기타 ,8690.0,1238721.29
SPB-31569,2021-01-29,2021-07-06,기타 ,8690.0,1238721.29
SPB-50085,2021-01-30,2021-04-25,기타 ,2870.0,399885.57
SPB-50085,2021-01-30,2021-04-25,기타 ,2870.0,399885.57
SPB-34050,2021-01-30,2021-02-16,안장,1736.0,211107.99
SPB-35963,2021-01-30,2021-06-16,타이어 ,2909.0,354967.13
SPB-32719,2021-01-30,2021-10-02,안장,14918.0,1928259.46
SPB-32064,2021-01-30,2021-10-22,기타 ,2318.0,263879.99000000005
SPB-41722,2021-01-30,2021-06-25,기타 ,6316.0,772827.63
SPB-30942,2021-01-30,2021-12-07,기타 ,711.0,37611.13
SPB-30942,2021-01-30,2021-12-07,기타 ,711.0,37611.13
SPB-31053,2021-01-30,2021-10-30,기타 ,1056.0,102271.44
SPB-33493,2021-01-30,2021-04-21,체인,991.0,115802.07
SPB-33493,2021-01-30,2021-05-06,안장,2107.0,229428.12
SPB-33493,2021-01-30,2021-04-21,페달,991.0,115802.07
SPB-43141,2021-01-30,2021-02-16,체인,536.0,73801.44000000002
SPB-52372,2021-01-30,2021-06-19,단말기,2526.0,324253.50000000006
SPB-42443,2021-01-30,2021-10-11,타이어 ,1328.0,139345.85
SPB-42443,2021-01-30,2021-05-14,안장,6079.0,766198.31
SPB-42443,2021-01-30,2021-10-02,기타 ,4584.0,593429.53
SPB-53705,2021-01-30,2021-06-16,기타 ,675.0,103970.43999999996
SPB-35024,2021-01-30,2021-08-03,타이어 ,6283.0,798326.44
SPB-35024,2021-01-30,2021-08-03,타이어 ,6283.0,798326.44
SPB-30121,2021-01-30,2021-06-27,기타 ,164.0,10667.759999999998
SPB-30121,2021-01-30,2021-06-27,기타 ,164.0,10667.759999999998
SPB-51556,2021-01-30,2021-08-13,기타 ,91.0,11048.36
SPB-31682,2021-01-30,2021-04-29,기타 ,1478.0,148023.5
SPB-53829,2021-02-01,2021-06-25,기타 ,1780.0,211290.53
SPB-36834,2021-02-01,2021-02-20,체인,1198.0,121682.54
SPB-36834,2021-02-01,2021-06-21,페달,328.0,51966.490000000005
SPB-50185,2021-02-01,2021-04-09,기타 ,17992.0,2368893.2
SPB-50701,2021-02-01,2021-09-15,기타 ,574.0,48160.0
SPB-37159,2021-02-01,2021-08-09,페달,5789.0,646312.11
SPB-33071,2021-02-01,2021-05-26,기타 ,1625.0,224519.51
SPB-43735,2021-02-01,2021-08-26,안장,10085.0,1173059.67
SPB-43735,2021-02-01,2021-08-26,안장,10085.0,1173059.67
SPB-51874,2021-02-01,2021-06-29,타이어 ,15256.0,1685090.04
SPB-42618,2021-02-01,2021-10-26,기타 ,3769.0,412975.07
SPB-42618,2021-02-01,2021-10-26,기타 ,3769.0,412975.07
SPB-31676,2021-02-01,2021-08-10,기타 ,3565.0,346292.31
SPB-32188,2021-02-01,2021-04-22,기타 ,2283.0,280579.67
SPB-43926,2021-02-01,2021-04-18,안장,2129.0,217265.61
SPB-41045,2021-02-01,2021-08-06,기타 ,322.0,31926.6
SPB-35323,2021-02-01,2021-07-13,기타 ,662.0,81876.73
SPB-35323,2021-02-01,2021-07-13,기타 ,662.0,81876.73
SPB-35396,2021-02-02,2021-05-06,기타 ,1518.0,164957.8
SPB-30254,2021-02-02,2021-04-20,페달,13112.0,1728341.01
SPB-32406,2021-02-02,2021-11-13,기타 ,3280.0,421674.45
SPB-50392,2021-02-02,2021-05-08,페달,8895.0,997411.94
SPB-32445,2021-02-02,2021-04-07,안장,9431.0,1081236.62
SPB-32445,2021-02-02,2021-04-07,안장,9431.0,1081236.62
SPB-32445,2021-02-02,2021-07-27,기타 ,7098.0,862745.9299999999
SPB-32445,2021-02-02,2021-07-27,기타 ,7098.0,862745.9299999999
SPB-54046,2021-02-02,2021-10-13,기타 ,1404.0,156610.0
SPB-54046,2021-02-02,2021-10-13,기타 ,1404.0,156610.0
SPB-32694,2021-02-02,2021-06-08,타이어 ,19538.0,2344762.88
SPB-32694,2021-02-02,2021-08-18,기타 ,2626.0,346061.05
SPB-31612,2021-02-02,2021-05-01,기타 ,12326.0,1498241.0
SPB-31115,2021-02-02,2021-11-22,기타 ,17169.0,2067292.42
SPB-43258,2021-02-02,2021-09-26,안장,2283.0,357082.22000000003
SPB-36369,2021-02-02,2021-06-20,기타 ,2081.0,254962.07
SPB-31778,2021-02-02,2021-07-26,체인,22418.0,2893517.31
SPB-31778,2021-02-02,2021-07-26,기타 ,22418.0,2893517.31
SPB-33873,2021-02-02,2021-07-06,기타 ,535.0,77262.81
SPB-52023,2021-02-02,2021-08-05,안장,5708.0,740624.29
SPB-35191,2021-02-02,2021-07-06,기타 ,154.0,15980.23
SPB-54073,2021-02-02,2021-08-28,기타 ,14448.0,1623338.48
SPB-40597,2021-02-02,2021-06-22,체인,3527.0,440022.57000000007
SPB-33632,2021-02-02,2021-10-07,체인,2098.0,214364.55
SPB-30259,2021-02-02,2021-09-19,체인,16611.0,1943987.38
SPB-30259,2021-02-02,2021-09-19,체인,16611.0,1943987.38
SPB-32139,2021-02-02,2021-07-13,기타 ,3793.0,473521.3
SPB-42744,2021-02-02,2021-08-27,기타 ,3058.0,428984.5
SPB-42744,2021-02-02,2021-08-27,기타 ,3058.0,428984.5
SPB-41735,2021-02-03,2021-08-30,기타 ,2208.0,290942.7
SPB-52620,2021-02-03,2021-10-26,타이어 ,550.0,59370.0
SPB-52620,2021-02-03,2021-10-26,타이어 ,550.0,59370.0
SPB-44263,2021-02-03,2021-07-18,기타 ,2859.0,398044.57
SPB-34276,2021-02-03,2021-09-24,기타 ,3042.0,482297.44
SPB-40778,2021-02-03,2021-05-28,안장,4605.0,531042.88
SPB-31735,2021-02-03,2021-10-06,페달,10950.0,1225047.5100000002
SPB-31724,2021-02-03,2021-05-26,기타 ,20492.0,2308674.16
SPB-31724,2021-02-03,2021-05-26,기타 ,20492.0,2308674.16
SPB-32095,2021-02-03,2021-10-06,기타 ,5410.0,641136.3200000001
SPB-40418,2021-02-03,2021-05-01,기타 ,1010.0,88941.95
SPB-35385,2021-02-03,2021-07-30,타이어 ,6483.0,701375.11
SPB-32856,2021-02-03,2021-10-02,체인,951.0,129704.61
SPB-33035,2021-02-03,2021-08-18,기타 ,13526.0,1737097.21
SPB-32515,2021-02-03,2021-04-29,기타 ,269.0,32375.620000000003
SPB-32082,2021-02-03,2021-12-29,기타 ,2277.0,173500.41000000003
SPB-42752,2021-02-03,2021-04-17,페달,372.0,52772.77
SPB-42752,2021-02-03,2021-02-17,기타 ,1118.0,144100.74
SPB-50755,2021-02-03,2021-02-15,안장,1364.0,202267.28
SPB-54392,2021-02-03,2021-04-08,안장,2349.0,265740.0
SPB-33919,2021-02-03,2021-04-22,체인,2170.0,258465.86
SPB-53100,2021-02-03,2021-09-17,기타 ,6414.0,8934.33
SPB-53100,2021-02-03,2021-09-17,기타 ,6414.0,8934.33
SPB-31712,2021-02-03,2021-06-10,안장,6487.0,822868.04
SPB-54048,2021-02-04,2021-08-11,기타 ,4245.0,536697.6699999999
SPB-32713,2021-02-04,2021-04-18,체인,13725.0,1711175.38
SPB-32617,2021-02-04,2021-06-21,기타 ,989.0,133120.87
SPB-32110,2021-02-04,2021-03-17,기타 ,7141.0,864629.2500000001
SPB-40019,2021-02-04,2021-03-23,체인,312.0,37656.84
SPB-40019,2021-02-04,2021-03-15,안장,1394.0,158278.6
SPB-31988,2021-02-04,2021-08-09,안장,14321.0,1732135.42
SPB-32304,2021-02-05,2021-10-14,기타 ,1049.0,32642.1
